weather_main,temp,feels_like,temp_min,temp_max,pressure,humidity,visibility,wind_speed,wind_deg,clouds_all,rain_1h,rain_3h,snow_1h,snow_3h,dt,sunrise,sunset
Clear,-0.13,-4.32,-1.84,1.24,1005,100,10000,1.5,60,0,0,0,0,0,1585144500,1585091100,1585130880
Clear,-0.12,-4.21,-1.05,1.36,1005,100,10000,1.5,90,0,0,0,0,0,1585144800,1585091100,1585130880
Clear,-0.13,-4.61,-1.7,0.79,1005,100,10000,1.5,70,0,0,0,0,0,1585144500,1585091100,1585130880
Clear,-0.12,-4.84,-1.64,0.96,1005,100,10000,1.5,80,0,0,0,0,0,1585144800,1585091100,1585130880
Clear,-0.2,-5.07,-1.85,0.83,1005,100,10000,1.5,80,0,0,0,0,0,1585145700,1585091100,1585130880
Clouds,-0.27,-5.14,-1.41,0.79,1004,100,10000,1.5,70,20,0,0,0,0,1585146000,1585091100,1585130880
Clouds,-0.26,-5.04,-1.31,0.49,1004,100,10000,1.5,60,20,0,0,0,0,1585146300,1585091100,1585130880
Clouds,-0.26,-4.26,-1.8,0.25,1004,100,10000,1.5,80,20,0,0,0,0,1585146300,1585091100,1585130880
Clouds,-0.26,-5.06,-1.6,0.25,1004,100,10000,1.5,60,20,0,0,0,0,1585146900,1585091100,1585130880
Clouds,-0.26,-5.05,-1.38,0.97,1004,100,10000,1.5,70,20,0,0,0,0,1585146900,1585091100,1585130880
Clouds,-0.34,-4.77,-1.71,0.8,1004,100,10000,1.5,70,20,0,0,0,0,1585147500,1585091100,1585130880
Clouds,-0.26,-4.26,-1.66,1.19,1004,100,10000,1.5,90,20,0,0,0,0,1585146900,1585091100,1585130880
Clouds,-0.52,-4.53,-1.33,0.54,1004,100,10000,1.5,70,20,0,0,0,0,1585148100,1585091100,1585130880
Clouds,-0.52,-5.49,-1.74,0.89,1004,100,10000,1.5,60,20,0,0,0,0,1585148100,1585091100,1585130880
Clouds,-0.45,-5.24,-1.57,0.07,1004,100,10000,1.5,60,20,0,0,0,0,1585148400,1585091100,1585130880
Clouds,-0.44,-4.93,-1.82,0.82,1004,100,10000,1.5,80,20,0,0,0,0,1585149000,1585091100,1585130880
Clouds,-0.44,-4.71,-1.97,0.37,1004,100,10000,1.5,80,20,0,0,0,0,1585149000,1585091100,1585130880
Clouds,-0.63,-4.69,-1.64,-0.07,1004,100,10000,1,90,20,0,0,0,0,1585149600,1585091100,1585130880
Clouds,-0.63,-5.14,-2.13,-0.08,1004,100,10000,1,80,20,0,0,0,0,1585149600,1585091100,1585130880
Clouds,-0.63,-4.72,-2.24,0.47,1004,100,10000,1,60,20,0,0,0,0,1585150200,1585091100,1585130880
Clouds,-0.63,-4.72,-1.84,0.47,1004,100,10000,1,70,20,0,0,0,0,1585150200,1585091100,1585130880
Clouds,-0.61,-5.45,-2.19,0.6,1004,100,10000,1,70,20,0,0,0,0,1585150800,1585091100,1585130880
Clouds,-0.61,-4.82,-1.64,0.02,1004,100,10000,1,80,20,0,0,0,0,1585150800,1585091100,1585130880
Clouds,-0.61,-4.63,-1.98,-0.09,1004,100,10000,1,90,20,0,0,0,0,1585150800,1585091100,1585130880
Clouds,-0.66,-5.31,-1.82,0.66,1004,100,10000,0.5,90,20,0,0,0,0,1585151700,1585091100,1585130880
Clouds,-0.66,-5.05,-2.42,0.8,1004,100,10000,0.5,80,20,0,0,0,0,1585151700,1585091100,1585130880
Clouds,-0.66,-4.7,-2.39,0.23,1004,100,10000,0.5,60,20,0,0,0,0,1585151700,1585091100,1585130880
Clouds,-0.65,-5.48,-1.61,0.64,1004,100,10000,0.5,90,20,0,0,0,0,1585152000,1585177320,1585217400
Clouds,-0.46,-4.49,-2.11,0.91,1004,100,10000,0.5,60,20,0,0,0,0,1585152900,1585177320,1585217400
Clouds,-1.2,-5.41,-2.85,-0.66,1004,100,10000,2.1,90,20,0,0,0,0,1585153200,1585177320,1585217400
Clouds,-1.2,-5.27,-2.06,-0.11,1004,100,10000,2.1,60,20,0,0,0,0,1585153200,1585177320,1585217400
Clouds,-1.2,-5.82,-2.21,-0.22,1004,100,10000,2.1,80,20,0,0,0,0,1585153200,1585177320,1585217400
Clouds,-1.21,-6.2,-2.24,0.28,1004,100,10000,2.1,80,20,0,0,0,0,1585154100,1585177320,1585217400
Clouds,-1.2,-5.57,-2.95,-0.36,1004,100,10000,2.1,60,20,0,0,0,0,1585154400,1585177320,1585217400
Clouds,-1.06,-5.97,-1.96,-0.18,1004,100,10000,2.1,80,20,0,0,0,0,1585154700,1585177320,1585217400
Clouds,-1.06,-5.37,-2.57,-0.09,1004,100,10000,2.1,70,20,0,0,0,0,1585154700,1585177320,1585217400
Clouds,-1.06,-5.22,-2.3,-0.27,1004,100,10000,2.1,70,20,0,0,0,0,1585154700,1585177320,1585217400
Clouds,-1.01,-5.08,-1.92,-0.47,1003,100,10000,1.5,80,20,0,0,0,0,1585155600,1585177320,1585217400
Clouds,-1.01,-5.42,-2.7,0.09,1003,100,10000,1.5,80,20,0,0,0,0,1585155600,1585177320,1585217400
Clouds,-1.01,-5.72,-2.07,0,1003,100,10000,1.5,60,20,0,0,0,0,1585156200,1585177320,1585217400
Clouds,-1.01,-5.34,-2.09,0.41,1003,100,10000,1.5,60,20,0,0,0,0,1585156200,1585177320,1585217400
Clouds,-1.13,-5.69,-2.5,-0.45,1003,92,10000,1,80,20,0,0,0,0,1585156800,1585177320,1585217400
Clouds,-1.13,-5.25,-2.25,0.09,1003,92,10000,1,70,20,0,0,0,0,1585156800,1585177320,1585217400
Clouds,-1.06,-5.56,-2.35,-0.5,1003,92,10000,1,80,20,0,0,0,0,1585157400,1585177320,1585217400
Clouds,-1.06,-5.92,-2.09,-0.5,1003,92,10000,1,70,20,0,0,0,0,1585157700,1585177320,1585217400
Clouds,-1.06,-5.07,-2.41,0.29,1003,92,10000,1,70,20,0,0,0,0,1585157700,1585177320,1585217400
Clouds,-1.06,-5.11,-2.18,0.4,1003,92,10000,1,80,20,0,0,0,0,1585157700,1585177320,1585217400
Clouds,-1.06,-5.74,-2.36,-0.1,1003,92,10000,1,60,20,0,0,0,0,1585157700,1585177320,1585217400
Clouds,-1.17,-5.49,-2.06,-0.04,1003,92,10000,1.5,60,20,0,0,0,0,1585158900,1585177320,1585217400
Clouds,-1.17,-5.74,-2.57,-0.63,1003,92,10000,1.5,70,20,0,0,0,0,1585158900,1585177320,1585217400
Clouds,-1.08,-5.21,-2.42,-0.28,1003,92,10000,1.5,90,20,0,0,0,0,1585159500,1585177320,1585217400
Clouds,-1.08,-5.83,-2.38,-0.21,1003,92,10000,1.5,90,20,0,0,0,0,1585159500,1585177320,1585217400
Clouds,-0.73,-5.42,-1.61,0.51,1003,92,10000,1.5,60,20,0,0,0,0,1585160100,1585177320,1585217400
Clouds,-1.39,-5.57,-3.13,-0.11,1003,100,10000,1,90,20,0,0,0,0,1585160400,1585177320,1585217400
Clouds,-1.67,-5.7,-2.71,-0.68,1003,100,10000,1,70,20,0,0,0,0,1585160700,1585177320,1585217400
Clouds,-1.72,-6.51,-2.73,-0.6,1003,100,10000,1,90,20,0,0,0,0,1585161000,1585177320,1585217400
Clouds,-1.72,-6.42,-3.48,-0.39,1003,100,10000,1,70,20,0,0,0,0,1585161000,1585177320,1585217400
Clouds,-1.72,-6.38,-2.85,-0.68,1003,100,10000,1,70,20,0,0,0,0,1585161000,1585177320,1585217400
Clouds,-1.39,-5.99,-2.35,-0.32,1003,100,10000,1,90,20,0,0,0,0,1585161900,1585177320,1585217400
Clouds,-1.37,-5.63,-2.47,-0.25,1002,92,10000,2.6,70,20,0,0,0,0,1585162200,1585177320,1585217400
Clouds,-1.39,-5.77,-2.61,-0.84,1003,100,10000,1,70,20,0,0,0,0,1585161900,1585177320,1585217400
Clouds,-1.38,-5.43,-2.82,-0.5,1002,92,10000,2.6,90,20,0,0,0,0,1585162800,1585177320,1585217400
Clouds,-1.31,-5.54,-2.96,-0.37,1002,92,10000,2.6,70,20,0,0,0,0,1585163100,1585177320,1585217400
Clouds,-1.38,-6.34,-2.5,-0.18,1002,92,10000,2.6,70,20,0,0,0,0,1585162800,1585177320,1585217400
Clouds,-1.35,-5.64,-2.23,-0.35,1002,92,10000,2.6,70,20,0,0,0,0,1585163700,1585177320,1585217400
Clouds,-1.44,-6.26,-2.86,-0.77,1002,100,10000,2.1,80,20,0,0,0,0,1585164000,1585177320,1585217400
Clouds,-1.44,-5.7,-2.67,-0.28,1002,100,10000,2.1,70,20,0,0,0,0,1585164000,1585177320,1585217400
