number,available_bike_stands,available_bikes,last_update
43,28,2,1586856513000
81,29,9,1586856160000
31,16,4,1586856412000
98,32,8,1586856019000
23,8,22,1586856220000
106,40,0,1586856029000
112,9,20,1586856542000
68,28,12,1586856060000
74,17,13,1586856215000
87,29,8,1586856440000
84,24,6,1586856342000
90,31,9,1586856369000
11,19,11,1586856362000
17,12,7,1586856594000
45,23,7,1586856593000
114,29,10,1586856304000
72,31,0,1586856333000
63,20,14,1586856136000
113,33,7,1586856131000
91,18,12,1586856286000
99,24,6,1586856326000
9,9,15,1586856559000
67,37,3,1586856301000
116,25,5,1586856359000
55,31,4,1586856432000
62,23,17,1586856040000
5,32,8,1586856430000
97,37,3,1586856322000
61,17,8,1586856482000
77,27,2,1586856343000
73,30,0,1586856192000
4,6,13,1586856361000
49,20,19,1586856280000
19,10,20,1586856225000
7,23,6,1586856335000
102,27,12,1586856420000
38,12,28,1586856136000
53,29,11,1586856441000
58,33,7,1586856354000
66,12,28,1586856043000
104,29,11,1586856349000
101,23,7,1586856414000
115,22,8,1586856444000
47,29,11,1586856378000
117,29,11,1586856461000
8,22,8,1586856089000
27,14,6,1586856314000
16,12,8,1586856068000
96,19,10,1586856225000
82,12,9,1586856330000
76,37,1,1586856305000
71,40,0,1586856273000
79,8,19,1586856073000
69,8,32,1586856155000
25,15,15,1586856247000
51,35,4,1586856165000
37,22,8,1586856021000
59,15,3,1586856339000
95,22,18,1586856178000
94,31,9,1586856311000
105,29,7,1586856269000
36,26,14,1586856214000
93,34,6,1586856271000
22,6,13,1586856537000
50,36,4,1586856317000
110,35,5,1586856133000
12,11,9,1586856541000
34,21,8,1586856047000
78,6,33,1586856416000
2,20,0,1586856450000
75,38,2,1586856387000
111,34,6,1586856498000
26,7,13,1586856597000
65,23,17,1586856462000
15,15,1,1586856166000
86,33,5,1586856190000
10,0,15,1586856179000
100,16,9,1586856388000
24,14,6,1586856432000
64,34,5,1586856332000
109,13,16,1586856582000
85,23,12,1586856002000
107,40,0,1586856090000
33,1,19,1586856499000
44,25,4,1586856549000
89,27,13,1586856163000
57,18,5,1586856066000
80,25,15,1586856591000
41,19,1,1586856573000
3,14,6,1586856551000
40,8,13,1586856546000
29,1,28,1586856467000
103,34,6,1586856329000
28,22,7,1586856145000
39,18,2,1586856557000
83,25,14,1586856179000
92,23,16,1586856284000
21,24,6,1586856074000
88,11,18,1586856211000
30,18,2,1586856736000
56,31,9,1586856843000
13,24,4,1586856710000
81,29,9,1586856777000
98,32,8,1586856628000
23,8,22,1586856880000
106,40,0,1586856637000
68,28,12,1586856669000
74,17,13,1586856824000
63,20,14,1586856744000
113,32,8,1586856640000
91,18,12,1586856894000
116,24,6,1586856698000
62,23,17,1586856650000
77,27,2,1586856897000
73,30,0,1586856800000
49,20,19,1586856890000
19,10,20,1586856833000
38,12,28,1586856744000
58,33,7,1586856784000
66,12,28,1586856651000
8,22,8,1586856698000
16,12,8,1586856677000
96,19,10,1586856834000
82,12,9,1586856755000
71,40,0,1586856883000
79,8,19,1586856681000
69,7,33,1586856832000
25,15,15,1586856855000
51,35,4,1586856756000
37,22,8,1586856630000
59,14,4,1586856818000
95,22,18,1586856787000
105,29,7,1586856878000
36,26,14,1586856823000
93,34,6,1586856880000
110,35,5,1586856742000
34,21,8,1586856656000
75,37,3,1586856665000
111,35,5,1586856891000
15,15,1,1586856774000
86,33,5,1586856798000
10,0,15,1586856890000
100,16,9,1586856844000
85,23,12,1586856610000
107,40,0,1586856697000
89,27,13,1586856773000
57,18,5,1586856673000
